선수ID,선수이름,포지션,보유신규특성,국가,주발,약발,클럽1,클럽2,클럽3,클럽4,클럽5,클럽6,클럽7,클럽8,클럽9
100006235,파벨 네드베드,CAM,2개의 심장,체코,양발,5,유벤투스,라티움,스파르타 프라하,,,,,,
100006975,프레디 융베리,RM,2개의 심장,스웨덴,양발,5,셀틱,웨스트 햄 유나이티드,아스널,,,,,,
100007289,리오 퍼디난드,CB,와일드 태클러,잉글랜드,오른발,3,맨체스터 유나이티드,리즈 유나이티드,웨스트 햄 유나이티드,,,,,,
100007512,에르난 크레스포,ST,라인 브레이커,아르헨티나,양발,5,파르마,제노아,롬바르디아 FC,밀라노 FC,첼시,라티움,,,
100007518,베론,CM,커맨더,아르헨티나,오른발,4,롬바르디아 FC,첼시,맨체스터 유나이티드,라티움,파르마,삼프도리아,,,
100007763,안드레아 피를로,CM,커맨더,이탈리아,양발,5,유벤투스,밀라노 FC,롬바르디아 FC,,,,,,
100007826,로빈 반페르시,ST,아크로바틱 피니셔,네덜란드,양발,5,페예노르트,맨체스터 유나이티드,아스널,,,,,,
100009676,사뮈엘 에토,ST,라인 브레이커,카메룬,양발,5,삼프도리아,에버턴,첼시,롬바르디아 FC,FC 바르셀로나,RCD 마요르카,레알 마드리드,RCD 에스파뇰,
100010264,뤼트 반니스텔로이,ST,크로스 포쳐,네덜란드,오른발,4,함부르크 SV,레알 마드리드,맨체스터 유나이티드,,,,,,
100010535,차비,CM,커맨더,스페인,오른발,4,FC 바르셀로나,,,,,,,,
100011141,미로슬라프 클로제,ST,크로스 포쳐,독일,오른발,4,라티움,바이에른 뮌헨,베르더 브레멘,,,,,,
100013038,카를레스 푸욜,CB,와일드 태클러,스페인,오른발,3,FC 바르셀로나,,,,,,,,
100013128,안드리 셰우첸코,ST,크로스 포쳐,우크라이나,양발,5,디나모 키이우,밀라노 FC,첼시,,,,,,
100013383,나카타 히데토시,CAM,아크로바틱 피니셔,일본,양발,5,피오렌티나,볼로냐,파르마,AS 로마,,,,,
100013743,스티븐 제라드,CAM,커맨더,잉글랜드,양발,5,LA 갤럭시,리버풀,,,,,,,
100020289,야야 투레,CM,커맨더,코트디부아르,양발,5,맨체스터 시티,FC 바르셀로나,AS 모나코,,,,,,
100023174,리켈메,CAM,커맨더,아르헨티나,오른발,4,비야레알 CF,FC 바르셀로나,,,,,,,
100028130,호나우지뉴,LW,커맨더,브라질,오른발,4,밀라노 FC,FC 바르셀로나,파리 생제르맹,,,,,,
100031432,디디에 드로그바,ST,크로스 포쳐,코트디부아르,양발,5,첼시,갈라타사라이,상하이 선화,올랭피크 마르세유,,,,,
100034079,애슐리 콜,LB,체이서,잉글랜드,왼발,3,LA 갤럭시,AS 로마,첼시,크리스털 팰리스,아스널,,,,
100037576,호나우두,ST,라인 브레이커,브라질,양발,5,밀라노 FC,레알 마드리드,롬바르디아 FC,FC 바르셀로나,,,,,
100039943,박지성,CAM,2개의 심장,대한민국,양발,5,맨체스터 유나이티드,,,,,,,,
100041236,즐라탄,ST,아크로바틱 피니셔,스웨덴,양발,5,밀라노 FC,LA 갤럭시,맨체스터 유나이티드,파리 생제르맹,FC 바르셀로나,롬바르디아 FC,유벤투스,아약스,
100045197,샤비 알론소,CM,커맨더,스페인,오른발,4,바이에른 뮌헨,레알 마드리드,리버풀,SD 에이바르,레알 소시에다드,,,,
100045661,라울,CF,크로스 포쳐,스페인,왼발,4,레알 마드리드,,,,,,,,
100045674,마이클 에시앙,CDM,2개의 심장,가나,오른발,4,밀라노 FC,레알 마드리드,첼시,올랭피크 리옹,,,,,
100048940,페트르 체흐,GK,GK 공중볼 장악,체코,왼발,3,아스널,첼시,스타드 렌,스파르타 프라하,,,,,
100049369,페르난도 토레스,ST,라인 브레이커,스페인,양발,5,아틀레티코 마드리드,밀라노 FC,첼시,리버풀,,,,,
100051539,에드윈 반데르사르,GK,GK 공중볼 장악,네덜란드,오른발,3,맨체스터 유나이티드,풀럼,유벤투스,아약스,,,,,
100052241,헨릭 라르손,ST,크로스 포쳐,스웨덴,양발,5,맨체스터 유나이티드,FC 바르셀로나,셀틱,페예노르트,,,,,
100054050,웨인 루니,ST,크로스 포쳐,잉글랜드,양발,5,에버턴,맨체스터 유나이티드,,,,,,,
100121939,필립 람,RB,체이서,독일,양발,5,VfB 슈투트가르트,바이에른 뮌헨,,,,,,,
100121944,슈바인슈타이거,CM,커맨더,독일,오른발,4,맨체스터 유나이티드,바이에른 뮌헨,,,,,,,
100138449,카카,CAM,스피드스터,브라질,양발,5,밀라노 FC,레알 마드리드,,,,,,,
100138956,조르조 키엘리니,CB,파이터,이탈리아,왼발,3,유벤투스,피오렌티나,,,,,,,
100140601,네마냐 비디치,CB,파이터,세르비아,오른발,3,롬바르디아 FC,맨체스터 유나이티드,,,,,,,
100156353,루이스 에르난데스,ST,크로스 포쳐,멕시코,오른발,3,LA 갤럭시,,,,,,,,
100156616,프랑크 리베리,LW,스피드스터,프랑스,양발,5,피오렌티나,바이에른 뮌헨,올랭피크 마르세유,갈라타사라이,FC 메스,,,,
100161840,페르난도 이에로,CB,와일드 태클러,스페인,오른발,3,레알 마드리드,레알 바야돌리드,,,,,,,
100166124,게오르게 하지,CAM,스피드스터,루마니아,양발,5,갈라타사라이,FC 바르셀로나,레알 마드리드,,,,,,
100166149,우고 산체스,ST,크로스 포쳐,멕시코,양발,5,레알 마드리드,아틀레티코 마드리드,,,,,,,
100166691,지쿠,CAM,아크로바틱 피니셔,브라질,양발,5,우디네세,,,,,,,,
100166906,프랑코 바레시,CB,와일드 태클러,이탈리아,오른발,4,밀라노 FC,,,,,,,,
100167135,카를루스 아우베르투,RB,체이서,브라질,오른발,4,,,,,,,,,
100167198,에릭 칸토나,CF,크로스 포쳐,프랑스,양발,5,맨체스터 유나이티드,리즈 유나이티드,몽펠리에 HSC,올랭피크 마르세유,,,,,
100167680,로날트 쿠만,CB,파이터,네덜란드,오른발,3,페예노르트,FC 바르셀로나,아약스,,,,,,
100168473,베켄바워,CB,커맨더,독일,양발,5,함부르크 SV,바이에른 뮌헨,,,,,,,
100173731,가레스 베일,LM,스피드스터,웨일스,왼발,3,토트넘 홋스퍼,레알 마드리드,사우샘프턴,,,,,,
100176676,마르셀루,LB,커맨더,브라질,양발,5,레알 마드리드,,,,,,,,
100182521,토니 크로스,CM,커맨더,독일,양발,5,레알 마드리드,바이엘 04 레버쿠젠,바이에른 뮌헨,,,,,,
100190042,마라도나,CAM,스피드스터,아르헨티나,왼발,3,세비야 FC,SSC 나폴리,FC 바르셀로나,,,,,,
100190043,펠레,CF,스피드스터,브라질,양발,5,,,,,,,,,
100190044,보비 무어,CB,커맨더,잉글랜드,오른발,4,풀럼,웨스트 햄 유나이티드,,,,,,,
100190045,요한 크루이프,CF,크로스 포쳐,네덜란드,양발,5,페예노르트,아약스,레반테 UD,FC 바르셀로나,,,,,
100190046,소크라테스,CAM,크로스 포쳐,브라질,양발,5,피오렌티나,,,,,,,,
100190048,게르트 뮐러,ST,크로스 포쳐,독일,양발,5,바이에른 뮌헨,,,,,,,,
100190053,페터 슈마이켈,GK,GK 빠른 반응,덴마크,오른발,3,맨체스터 시티,애스턴 빌라,스포르팅 CP,맨체스터 유나이티드,,,,,
100191189,로타어 마테우스,CM,2개의 심장,독일,양발,5,바이에른 뮌헨,롬바르디아 FC,보루시아 묀헨글라트바흐,,,,,,
100191208,차범근,ST,스피드스터,대한민국,양발,5,바이엘 04 레버쿠젠,아인트라흐트 프랑크푸르트,,,,,,,
100191695,부트라게뇨,ST,라인 브레이커,스페인,양발,5,레알 마드리드,,,,,,,,
100192181,마르코 반바스텐,ST,크로스 포쳐,네덜란드,양발,5,밀라노 FC,아약스,,,,,,,
100192190,둥가,CDM,커맨더,브라질,오른발,4,VfB 슈투트가르트,피오렌티나,,,,,,,
100214098,프랑크 레이카르트,CDM,와일드 태클러,네덜란드,오른발,4,아약스,밀라노 FC,스포르팅 CP,,,,,,
100214100,루드 굴리트,CF,크로스 포쳐,네덜란드,양발,5,첼시,삼프도리아,밀라노 FC,페예노르트,,,,,
100214101,파울루 푸트리,CAM,스피드스터,포르투갈,양발,5,아틀레티코 마드리드,웨스트 햄 유나이티드,밀라노 FC,올랭피크 마르세유,SL 벤피카,FC 포르투,스포르팅 CP,,
100214267,게리 리네커,ST,크로스 포쳐,잉글랜드,양발,5,토트넘 홋스퍼,FC 바르셀로나,에버턴,레스터 시티,,,,,
100214649,다보르 슈케르,ST,라인 브레이커,크로아티아,양발,5,웨스트 햄 유나이티드,아스널,레알 마드리드,세비야 FC,디나모 자그레브,,,,
100215732,올리버 비어호프,ST,크로스 포쳐,독일,오른발,4,AS 모나코,밀라노 FC,우디네세,레드불 잘츠부르크,보루시아 묀헨글라트바흐,함부르크 SV,,,
100221162,바티스투타,ST,아크로바틱 피니셔,아르헨티나,양발,5,롬바르디아 FC,AS 로마,피오렌티나,,,,,,
100222000,미카엘 라우드루프,CF,라인 브레이커,덴마크,양발,5,아약스,레알 마드리드,FC 바르셀로나,유벤투스,라티움,,,,
100222481,로랑 블랑,CB,와일드 태클러,프랑스,오른발,3,맨체스터 유나이티드,롬바르디아 FC,올랭피크 마르세유,FC 바르셀로나,AS 생테티엔,SSC 나폴리,몽펠리에 HSC,,
100226764,조지 베스트,RW,라인 브레이커,북아일랜드,양발,5,풀럼,맨체스터 유나이티드,,,,,,,
100230025,보비 찰턴,CAM,커맨더,잉글랜드,양발,5,맨체스터 유나이티드,,,,,,,,
100238380,레프 야신,GK,GK 공중볼 장악,러시아,오른발,3,,,,,,,,,
100242519,에우제비우,ST,스피드스터,포르투갈,양발,5,SL 벤피카,,,,,,,,
100247515,존 반스,LW,스피드스터,잉글랜드,양발,5,뉴캐슬 유나이티드,리버풀,왓퍼드,,,,,,
100247553,가린샤,RW,스피드스터,브라질,오른발,4,,,,,,,,,
100247699,케니 달글리시,CF,아크로바틱 피니셔,스코틀랜드,양발,5,리버풀,셀틱,,,,,,,
100247703,이언 러시,ST,크로스 포쳐,웨일스,양발,5,셰필드 유나이티드,뉴캐슬 유나이티드,리즈 유나이티드,리버풀,유벤투스,,,,
100248146,이언 라이트,ST,라인 브레이커,잉글랜드,양발,5,번리,셀틱,웨스트 햄 유나이티드,아스널,크리스털 팰리스,,,,
100254642,페렌츠 푸스카스,CF,아크로바틱 피니셔,헝가리,왼발,4,레알 마드리드,,,,,,,,
100268513,자이르지뉴,RW,크로스 포쳐,브라질,오른발,4,올랭피크 마르세유,,,,,,,,
844020801,크리스티아누 호날두,ST,크로스 포쳐,포르투갈,양발,5,맨체스터 유나이티드,유벤투스,레알 마드리드,스포르팅 CP,,,,,
844158023,리오넬 메시,RW,없음,아르헨티나,왼발,4,파리 생제르맹,FC 바르셀로나,,,,,,,
844162328,렘코 파스베어,GK,없음,네덜란드,오른발,4,아약스,,,,,,,,
844165153,카림 벤제마,ST,크로스 포쳐,프랑스,양발,5,레알 마드리드,올랭피크 리옹,,,,,,,
844176580,루이스 수아레스,ST,없음,우루과이,양발,5,아틀레티코 마드리드,FC 바르셀로나,리버풀,아약스,,,,,
844184111,크리스티앙 벤테케,ST,크로스 포쳐,벨기에,오른발,3,크리스털 팰리스,리버풀,애스턴 빌라,KRC 겡크,,,,,
844185122,페테르 굴라치,GK,없음,헝가리,오른발,2,RB 라이프치히,레드불 잘츠부르크,리버풀,,,,,,
844188335,안테 부디미르,ST,크로스 포쳐,크로아티아,왼발,4,오사수나,RCD 마요르카,삼프도리아,,,,,,
844188545,레반도프스키,ST,크로스 포쳐,폴란드,양발,5,FC 바르셀로나,바이에른 뮌헨,보루시아 도르트문트,,,,,,
844189332,조르디 알바,LB,없음,스페인,왼발,3,FC 바르셀로나,발렌시아 CF,,,,,,,
844189805,뤼크 더용,ST,크로스 포쳐,네덜란드,양발,5,FC 포르투,FC 바르셀로나,세비야 FC,뉴캐슬 유나이티드,보루시아 묀헨글라트바흐,,,,
844192119,티보 쿠르투아,GK,없음,벨기에,왼발,3,레알 마드리드,첼시,아틀레티코 마드리드,KRC 겡크,,,,,
844192123,크리스 우드,ST,크로스 포쳐,뉴질랜드,오른발,4,뉴캐슬 유나이티드,번리,리즈 유나이티드,레스터 시티,웨스트 브로미치 앨비언,브라이턴 호브 앨비언,,,
844192366,니콜라스 오타멘디,CB,체이서,아르헨티나,오른발,3,SL 벤피카,맨체스터 시티,발렌시아 CF,FC 포르투,,,,,
844192505,로멜루 루카쿠,ST,크로스 포쳐,벨기에,왼발,4,SSC 나폴리,첼시,AS 로마,롬바르디아 FC,맨체스터 유나이티드,에버턴,웨스트 브로미치 앨비언,,
844192984,쿤 카스테일스,GK,없음,벨기에,왼발,2,VfL 볼프스부르크,베르더 브레멘,TSG 호펜하임,KRC 겡크,,,,,
844193080,데헤아,GK,없음,스페인,오른발,3,피오렌티나,맨체스터 유나이티드,아틀레티코 마드리드,,,,,,
844197781,이스코,CAM,없음,스페인,오른발,4,레알 베티스,세비야 FC,레알 마드리드,발렌시아 CF,,,,,
844199503,그라니트 자카,CDM,없음,스위스,왼발,3,바이엘 04 레버쿠젠,아스널,보루시아 묀헨글라트바흐,,,,,,
844199641,마츠 셀스,GK,없음,벨기에,오른발,2,스트라스부르 알자스,뉴캐슬 유나이티드,,,,,,,
844200104,손흥민,LW,라인 브레이커,대한민국,양발,5,토트넘 홋스퍼,바이엘 04 레버쿠젠,함부르크 SV,,,,,,
844202126,해리 케인,ST,크로스 포쳐,잉글랜드,양발,5,바이에른 뮌헨,토트넘 홋스퍼,레스터 시티,,,,,,
844203376,버질 반다이크,CB,체이서,네덜란드,오른발,3,리버풀,사우샘프턴,셀틱,,,,,,
844204485,리야드 마레즈,RW,없음,알제리,왼발,4,맨체스터 시티,레스터 시티,,,,,,,
844204525,이니고 마르티네스,CB,체이서,스페인,왼발,3,FC 바르셀로나,아틀레틱 빌바오,레알 소시에다드,,,,,,
844205452,안토니오 뤼디거,CB,와일드 태클러,독일,오른발,3,레알 마드리드,첼시,AS 로마,VfB 슈투트가르트,,,,,
844207865,마르키뉴스,CB,없음,브라질,오른발,3,파리 생제르맹,AS 로마,,,,,,,
844208448,에밀 포르스베리,CAM,없음,스웨덴,오른발,4,RB 라이프치히,,,,,,,,
844208919,라이언 골드,LW,없음,스코틀랜드,왼발,4,스포르팅 CP,,,,,,,,
844209331,모하메드 살라,RW,라인 브레이커,이집트,왼발,4,리버풀,AS 로마,첼시,피오렌티나,,,,,
844210008,아드리앙 라비오,CM,와일드 태클러,프랑스,왼발,3,밀라노 FC,올랭피크 마르세유,유벤투스,파리 생제르맹,,,,,
844210035,그리말도,LWB,없음,스페인,왼발,2,바이엘 04 레버쿠젠,SL 벤피카,FC 바르셀로나,,,,,,
844210514,주앙 칸셀루,RB,없음,포르투갈,오른발,4,FC 바르셀로나,맨체스터 시티,바이에른 뮌헨,유벤투스,롬바르디아 FC,발렌시아 CF,SL 벤피카,,
844210602,살렘 알도사리,LW,라인 브레이커,사우디아라비아,양발,5,비야레알 CF,,,,,,,,
844211110,파울로 디발라,CAM,없음,아르헨티나,왼발,3,AS 로마,유벤투스,,,,,,,
844212198,브루누 페르난데스,CAM,없음,포르투갈,오른발,4,맨체스터 유나이티드,스포르팅 CP,삼프도리아,우디네세,,,,,
844212401,S. 모레이라,CB,체이서,카보베르데,오른발,2,FC 로리앙,스타드 렌,,,,,,,
844212616,로드리고 데폴,CM,없음,아르헨티나,오른발,3,아틀레티코 마드리드,우디네세,발렌시아 CF,,,,,,
844212622,요주아 키미히,CDM,없음,독일,양발,5,바이에른 뮌헨,VfB 슈투트가르트,RB 라이프치히,,,,,,
844213331,요나탄 타,CB,없음,독일,오른발,4,바이에른 뮌헨,바이엘 04 레버쿠젠,함부르크 SV,,,,,,
844213516,히카르두 오르타,CAM,없음,포르투갈,오른발,4,,,,,,,,,
844213648,P. 호이비에르,CDM,없음,덴마크,오른발,4,올랭피크 마르세유,토트넘 홋스퍼,사우샘프턴,바이에른 뮌헨,FC 아우크스부르크,,,,
844214096,팀 클라인딘스트,ST,크로스 포쳐,독일,양발,5,보루시아 묀헨글라트바흐,SC 프라이부르크,,,,,,,
844215316,헤로니모 룰리,GK,없음,아르헨티나,오른발,3,올랭피크 마르세유,아약스,비야레알 CF,레알 소시에다드,몽펠리에 HSC,맨체스터 시티,,,
844215441,세루 기라시,ST,크로스 포쳐,기니,오른발,4,보루시아 도르트문트,VfB 슈투트가르트,스타드 렌,LOSC 릴,,,,,
844215914,은골로 캉테,CDM,체이서,프랑스,오른발,3,첼시,레스터 시티,,,,,,,
844217870,조반니 디로렌초,RB,없음,이탈리아,오른발,4,SSC 나폴리,,,,,,,,
844219683,코랑탕 톨리소,CM,없음,프랑스,오른발,4,올랭피크 리옹,바이에른 뮌헨,,,,,,,
844220502,마티아 차카니,LW,없음,이탈리아,오른발,4,라티움,엘라스 베로나,,,,,,,
844222077,마누엘 로카텔리,CDM,없음,이탈리아,오른발,4,유벤투스,사수올로,밀라노 FC,,,,,,
844223848,S. 밀린코비치-사비치,CM,없음,세르비아,양발,5,라티움,KRC 겡크,,,,,,,
844224232,니콜로 바렐라,CM,없음,이탈리아,오른발,4,롬바르디아 FC,칼리아리,,,,,,,
844224251,로빈 첸트너,GK,없음,독일,오른발,3,,,,,,,,,
844224836,V. 밀린코비치-사비치,GK,없음,세르비아,오른발,3,SSC 나폴리,토리노,맨체스터 유나이티드,,,,,,
844225309,나딤 아미리,CM,없음,독일,오른발,3,바이엘 04 레버쿠젠,제노아,TSG 호펜하임,,,,,,
844225863,O. 보스카글리,CB,없음,프랑스,왼발,4,브라이턴 호브 앨비언,OGC 니스,,,,,,,
844226268,F. 디마르코,LWB,없음,이탈리아,왼발,4,롬바르디아 FC,엘라스 베로나,파르마,,,,,,
844227796,크리스천 풀리식,RW,없음,미국,양발,5,밀라노 FC,첼시,보루시아 도르트문트,,,,,,
844228093,마르쿠스 튀람,ST,크로스 포쳐,프랑스,오른발,4,롬바르디아 FC,보루시아 묀헨글라트바흐,,,,,,,
844229188,V. 파블리디스,ST,크로스 포쳐,그리스,양발,5,SL 벤피카,,,,,,,,
844229261,데니스 자카리아,CDM,와일드 태클러,스위스,오른발,3,AS 모나코,유벤투스,첼시,보루시아 묀헨글라트바흐,,,,,
844229348,안토니 로빈슨,LB,체이서,미국,왼발,3,풀럼,에버턴,,,,,,,
844229558,다요 우파메카노,CB,없음,프랑스,오른발,3,바이에른 뮌헨,RB 라이프치히,레드불 잘츠부르크,,,,,,
844230899,아데몰라 루크먼,CF,없음,나이지리아,오른발,4,아틀레티코 마드리드,베르가모 칼초,RB 라이프치히,레스터 시티,풀럼,에버턴,,,
844231281,T. 알렉산더-아놀드,RB,없음,잉글랜드,오른발,4,레알 마드리드,리버풀,,,,,,,
844231443,우스만 뎀벨레,RW,라인 브레이커,프랑스,양발,5,파리 생제르맹,FC 바르셀로나,보루시아 도르트문트,스타드 렌,,,,,
844231747,킬리안 음바페,ST,라인 브레이커,프랑스,오른발,4,레알 마드리드,파리 생제르맹,AS 모나코,,,,,,
844232360,가에탕 페랭,RW,라인 브레이커,프랑스,양발,5,LOSC 릴,올랭피크 리옹,,,,,,,
844232580,가브리엘 마갈량이스,CB,없음,브라질,왼발,2,아스널,LOSC 릴,디나모 자그레브,,,,,,
844232639,도안 리쓰,RW,없음,일본,왼발,3,아인트라흐트 프랑크푸르트,SC 프라이부르크,아르미니아 빌레펠트,,,,,,
844233096,덴젤 둠프리스,RWB,없음,네덜란드,오른발,3,롬바르디아 FC,,,,,,,,
844233306,딘 헨더슨,GK,없음,잉글랜드,오른발,3,크리스털 팰리스,맨체스터 유나이티드,셰필드 유나이티드,,,,,,
844233419,하피냐,LW,없음,브라질,왼발,4,FC 바르셀로나,리즈 유나이티드,스타드 렌,스포르팅 CP,,,,,
844233556,R. 오르솔리니,RW,없음,이탈리아,왼발,4,볼로냐,베르가모 칼초,유벤투스,,,,,,
844233731,알렉산데르 이사크,ST,크로스 포쳐,스웨덴,양발,5,리버풀,뉴캐슬 유나이티드,레알 소시에다드,보루시아 도르트문트,,,,,
844234236,파트리크 시크,ST,크로스 포쳐,체코,왼발,3,바이엘 04 레버쿠젠,RB 라이프치히,AS 로마,삼프도리아,스파르타 프라하,,,,
844234378,데클런 라이스,CM,없음,잉글랜드,오른발,3,아스널,웨스트 햄 유나이티드,,,,,,,
844234396,알폰소 데이비스,LB,없음,캐나다,왼발,4,바이에른 뮌헨,,,,,,,,
844234505,에반데르,CAM,없음,브라질,오른발,4,,,,,,,,,
844234577,디오구 코스타,GK,없음,포르투갈,오른발,2,FC 포르투,,,,,,,,
844236610,모이스 킨,ST,없음,이탈리아,오른발,3,피오렌티나,유벤투스,에버턴,파리 생제르맹,엘라스 베로나,,,,
844237086,김민재,CB,체이서,대한민국,오른발,4,바이에른 뮌헨,SSC 나폴리,전북 현대 모터스,,,,,,
844237238,스콧 맥토미니,CM,크로스 포쳐,스코틀랜드,오른발,3,SSC 나폴리,맨체스터 유나이티드,,,,,,,
844237383,A. 바스토니,CB,없음,이탈리아,왼발,3,롬바르디아 FC,파르마,베르가모 칼초,,,,,,
844238095,니콜라 밀렌코비치,CB,와일드 태클러,세르비아,오른발,3,피오렌티나,,,,,,,,
844238794,비니시우스,LW,라인 브레이커,브라질,오른발,4,레알 마드리드,,,,,,,,
844239053,페데리코 발베르데,CM,체이서,우루과이,오른발,4,레알 마드리드,,,,,,,,
844239085,엘링 홀란,ST,크로스 포쳐,노르웨이,왼발,4,맨체스터 시티,보루시아 도르트문트,레드불 잘츠부르크,,,,,,
844239093,조나탕 클로스,RWB,없음,프랑스,오른발,4,OGC 니스,올랭피크 마르세유,RC 랑스,아르미니아 빌레펠트,,,,,
844239380,노아 랑,LW,없음,네덜란드,오른발,4,갈라타사라이,SSC 나폴리,아약스,,,,,,
844239837,A. 마칼리스테르,CM,와일드 태클러,아르헨티나,오른발,3,리버풀,브라이턴 호브 앨비언,,,,,,,
